make,model,year,type,engine_cc,horsepower,torque_nm,top_speed_kmh,weight_kg,fuel_tank_liters,seat_height_mm,price_inr
Honda,CB500F,2023,Naked,471,47,43,180,189,17.7,790,550000
Honda,CB650R,2023,Naked,649,95,63,210,202,15.4,820,850000
Honda,CBR600RR,2022,Sport,599,118,66,250,194,18.1,830,1200000
Honda,CBR1000RR-R,2023,Sport,999,214,113,299,201,16.1,830,2300000
Honda,Africa Twin,2023,Adventure,1084,102,105,220,226,24.2,850,1450000
Honda,CB300R,2023,Naked,286,31,28,143,143,10.0,785,250000
Honda,Hornet,2023,Naked,755,92,75,200,193,15.2,810,900000
Honda,Gold Wing,2022,Touring,1833,126,170,180,390,21.1,745,3200000
Honda,X-ADV,2023,Adventure,745,58,69,170,238,21.5,790,1100000
Honda,CB125R,2023,Naked,125,13,11,115,127,10.0,810,160000
Honda,CB200X,2023,Adventure,184,17,16,115,145,12.0,825,160000
Honda,Shine 125,2023,Naked,124,11,11,96,125,10.5,780,82000
Honda,Unicorn 160,2023,Naked,162,13,14,111,144,12.0,790,110000
Honda,Activa 6G,2023,Naked,109,8,9,83,107,5.3,765,78000
Honda,CBR150R,2023,Sport,149,16,14,131,134,12.8,795,165000
Honda,NX500,2023,Adventure,471,47,43,170,193,18.8,840,700000
Honda,CB750 Hornet,2023,Naked,755,92,75,200,190,15.2,810,850000
Honda,Monkey 125,2023,Naked,125,9,11,95,107,5.6,775,115000
Honda,Grom,2023,Naked,125,9,11,96,104,5.5,762,130000
Honda,CB350,2023,Naked,348,21,30,140,181,15.0,800,210000
Honda,Hness CB350,2023,Cruiser,348,21,30,140,185,15.0,800,220000
Honda,CB750 Hornet 2024,2024,Naked,755,92,75,200,190,15.2,810,900000
